model,count,ADE,FDE,minADE,minFDE,Miss Rate,minMiss Rate
linear,23706,1.5324182510375977,3.7973430156707764,1.5324182510375977,3.7973430156707764,0.596304714679718,0.596304714679718
diffusion_direct,23706,1.9281556606292725,4.911424160003662,0.5009313225746155,0.9845224618911743,0.7267358303070068,0.11756516993045807
diffusion_pca,23706,1.4339096546173096,3.6639866828918457,0.41746464371681213,0.858253538608551,0.6241458058357239,0.09672656655311584
lstm,23706,0.7916645407676697,2.0570261478424072,0.7916645407676697,2.0570261478424072,0.38163334131240845,0.38163334131240845
transformer,23706,0.8514801859855652,2.183514356613159,0.8514801859855652,2.183514356613159,0.4000675082206726,0.4000675082206726
