cluster,model,count,ADE,FDE,minADE,minFDE,Miss Rate,minMiss Rate
0,linear,4302,1.2622476816177368,3.002152442932129,1.2622476816177368,3.002152442932129,0.525569498538971,0.525569498538971
1,linear,5479,2.4136476516723633,6.065398216247559,2.4136476516723633,6.065398216247559,0.8328161835670471,0.8328161835670471
2,linear,6806,0.9294829964637756,2.356156587600708,0.9294830560684204,2.356156587600708,0.40390831232070923,0.40390831232070923
3,linear,5291,1.7573603391647339,4.394968509674072,1.7573604583740234,4.394968509674072,0.7051597237586975,0.7051597237586975
4,linear,1828,1.120726227760315,2.5068161487579346,1.120726227760315,2.5068161487579346,0.45514222979545593,0.45514222979545593
0,diffusion_direct,4302,1.9373027086257935,4.839034080505371,0.4942782521247864,0.8811567425727844,0.7566248178482056,0.0720595046877861
1,diffusion_direct,5479,2.2046096324920654,5.7207770347595215,0.6284600496292114,1.3782570362091064,0.8030662536621094,0.2151852548122406
2,diffusion_direct,6806,1.5033972263336182,3.8515114784240723,0.35144320130348206,0.644704282283783,0.5944754481315613,0.06009403616189957
3,diffusion_direct,5291,1.9871466159820557,5.064519882202148,0.5259003043174744,1.0462149381637573,0.7637497782707214,0.12209412455558777
4,diffusion_direct,1828,2.488739013671875,6.15908145904541,0.6186542510986328,1.1343002319335938,0.812910258769989,0.1329321712255478
0,diffusion_pca,4302,1.4149521589279175,3.5207645893096924,0.4001772105693817,0.7720670700073242,0.6229660511016846,0.06183170527219772
1,diffusion_pca,5479,1.7995837926864624,4.693751811981201,0.5493959188461304,1.2143268585205078,0.7578025460243225,0.17046906054019928
2,diffusion_pca,6806,1.0806235074996948,2.794569730758667,0.29611170291900635,0.5830188393592834,0.48369085788726807,0.05686159431934357
3,diffusion_pca,5291,1.5222047567367554,3.925393581390381,0.44733503460884094,0.9365246295928955,0.6788886785507202,0.10716310888528824
4,diffusion_pca,1828,1.442291259765625,3.3949499130249023,0.4280792474746704,0.7920407056808472,0.5908096432685852,0.0760393887758255
0,lstm,4302,0.7299643754959106,1.8220537900924683,0.7299644351005554,1.8220537900924683,0.31985121965408325,0.31985121965408325
1,lstm,5479,0.9919784665107727,2.6493706703186035,0.9919785261154175,2.6493706703186035,0.5093995332717896,0.5093995332717896
2,lstm,6806,0.6089267730712891,1.5868215560913086,0.6089267730712891,1.5868215560913086,0.2781369388103485,0.2781369388103485
3,lstm,5291,0.8759129047393799,2.2981903553009033,0.8759129643440247,2.2981903553009033,0.44150444865226746,0.44150444865226746
4,lstm,1828,0.7729923725128174,1.8872259855270386,0.7729924321174622,1.8872259855270386,0.35612690448760986,0.35612690448760986
0,transformer,4302,0.7898331880569458,1.9519325494766235,0.7898331880569458,1.9519325494766235,0.35192933678627014,0.35192933678627014
1,transformer,5479,1.1027008295059204,2.900660753250122,1.10270094871521,2.900660753250122,0.5460850596427917,0.5460850596427917
2,transformer,6806,0.640579104423523,1.6727632284164429,0.640579104423523,1.6727632284164429,0.28474876284599304,0.28474876284599304
3,transformer,5291,0.928629994392395,2.4111921787261963,0.9286299347877502,2.4111921787261963,0.46002647280693054,0.46002647280693054
4,transformer,1828,0.8055063486099243,1.8216705322265625,0.8055064082145691,1.8216705322265625,0.33150985836982727,0.33150985836982727
