cluster,model,count,ADE,FDE,minADE,minFDE,Miss Rate,minMiss Rate
0,linear,22,2.386045455932617,5.710822105407715,2.386045455932617,5.710822105407715,0.6363636255264282,0.6363636255264282
1,linear,11,1.4884743690490723,3.3234148025512695,1.4884743690490723,3.3234148025512695,0.6363636255264282,0.6363636255264282
2,linear,26,0.9051799774169922,2.381615161895752,0.9051800966262817,2.381615161895752,0.38461539149284363,0.38461539149284363
3,linear,15,0.8003712296485901,1.663316249847412,0.8003711700439453,1.663316249847412,0.2666666805744171,0.2666666805744171
4,linear,21,1.6458783149719238,3.935877561569214,1.6458784341812134,3.935877561569214,0.6666666865348816,0.6666666865348816
0,diffusion_direct,22,7.056475639343262,14.00911808013916,6.947793483734131,12.754938125610352,1.0,1.0
1,diffusion_direct,11,24.9500675201416,48.59575271606445,24.68974494934082,47.6888313293457,1.0,1.0
2,diffusion_direct,26,2.0852675437927246,3.590160846710205,1.9653644561767578,2.6619837284088135,0.6153846383094788,0.42307692766189575
3,diffusion_direct,15,18.575838088989258,36.07339096069336,18.3878116607666,34.96662139892578,1.0,1.0
4,diffusion_direct,21,13.207432746887207,25.297622680664062,13.038658142089844,24.4243106842041,1.0,1.0
0,diffusion_pca,22,4.568142890930176,9.152145385742188,4.342775344848633,8.132211685180664,0.9545454382896423,0.9545454382896423
1,diffusion_pca,11,14.190266609191895,27.77300453186035,13.988143920898438,27.047401428222656,1.0,1.0
2,diffusion_pca,26,9.268952369689941,17.782094955444336,9.108826637268066,16.72347640991211,1.0,1.0
3,diffusion_pca,15,7.959160804748535,15.281387329101562,7.717892169952393,14.571688652038574,1.0,1.0
4,diffusion_pca,21,2.7544198036193848,5.241493225097656,2.6279125213623047,4.66589879989624,0.8095238208770752,0.761904776096344
0,lstm,22,6.941384792327881,13.808385848999023,6.941385269165039,13.808385848999023,1.0,1.0
1,lstm,11,24.857624053955078,48.557315826416016,24.857622146606445,48.557315826416016,1.0,1.0
2,lstm,26,1.4645941257476807,3.223567485809326,1.4645941257476807,3.223567485809326,0.5384615659713745,0.5384615659713745
3,lstm,15,18.585493087768555,35.952884674072266,18.585493087768555,35.952884674072266,1.0,1.0
4,lstm,21,13.179122924804688,25.477664947509766,13.17912483215332,25.477664947509766,1.0,1.0
0,transformer,22,6.266226291656494,11.890088081359863,6.2662272453308105,11.890088081359863,1.0,1.0
1,transformer,11,24.14133644104004,46.608787536621094,24.141340255737305,46.608787536621094,1.0,1.0
2,transformer,26,1.380998134613037,2.587393283843994,1.3809983730316162,2.587393283843994,0.5,0.5
3,transformer,15,17.862384796142578,33.99174118041992,17.862382888793945,33.99174118041992,1.0,1.0
4,transformer,21,12.458070755004883,23.497941970825195,12.4580717086792,23.497941970825195,1.0,1.0
