model,data_split,target_type,ADE,FDE,minADE,minFDE,Miss_Rate,Latency_ms,Params,Notes
linear,val_full,av2_focal_mixed,1.5324182510375977,3.7973430156707764,1.5324182510375977,3.7973430156707764,0.596304714679718,0.019141892348256844,0,single prediction; min metrics equal ADE/FDE
lstm,val_full,av2_focal_mixed,1.3740959167480469,3.951328992843628,1.3740959167480469,3.951328992843628,0.5941534042358398,0.10253474225985901,35970,single prediction; min metrics equal ADE/FDE
transformer,val_full,av2_focal_mixed,1.0867810249328613,2.707834482192993,1.0867810249328613,2.707834482192993,0.5113051533699036,0.037209149582237776,71420,single prediction; min metrics equal ADE/FDE
diffusion_pca,val_full,av2_focal_mixed,6.28801155090332,12.30606460571289,6.107557773590088,11.599884986877441,0.9355437159538269,0.0828328355688144,46156,multi-sample evaluation; K=4
diffusion_direct,val_full,av2_focal_mixed,10.117935180664062,19.455183029174805,9.942566871643066,18.461170196533203,0.9085885286331177,0.0963578882977545,55420,multi-sample evaluation; K=4
