model,candidate_id,config,hard_gate,preferred_gate,target_gate,selected,latent_dim,diffusion_steps,sampling_steps,num_samples,learning_rate,epochs_ran,ADE,FDE,minADE,minFDE,Sample_Diversity,minADE_improvement_pct,minFDE_improvement_pct,score,reason
diffusion_pca,pca_a,configs/full_tune_diffusion_pca_a.yaml,True,True,True,False,12,1000,50,16,0.0003,15,1.778551459312439,4.441359996795654,0.4908847212791443,1.0312490463256836,2.057755947113037,91.94842886959357,91.11485010798484,0.7486969828605652,passed
diffusion_pca,pca_b,configs/full_tune_diffusion_pca_b.yaml,True,True,True,True,12,1000,75,16,0.0002,15,1.542201042175293,3.859459400177002,0.45693081617355347,0.9440990686416626,1.6574305295944214,92.50534634993468,91.86572655006955,0.6929555833339691,passed
diffusion_pca,pca_c,configs/full_tune_diffusion_pca_c.yaml,True,True,True,False,12,1000,100,16,0.0001,15,1.9313006401062012,4.762604713439941,0.5231533646583557,1.0915837287902832,2.2827820777893066,91.4191533265039,90.59501186009004,0.7960492968559265,passed
diffusion_pca,pca_d,configs/full_tune_diffusion_pca_d.yaml,True,True,True,False,16,1000,75,16,0.0002,15,1.676939606666565,4.1514668464660645,0.47940218448638916,0.9966564774513245,1.876989483833313,92.1367673077985,91.41289659897909,0.7285663038492203,passed
diffusion_pca,pca_e,configs/full_tune_diffusion_pca_e.yaml,True,True,True,False,24,1000,75,16,0.0002,15,2.162203550338745,5.114647388458252,0.5177556872367859,1.0812476873397827,2.7320003509521484,91.50768691048978,90.68406627221775,0.7880676090717316,passed
diffusion_pca,pca_f,configs/full_tune_diffusion_pca_f.yaml,True,True,True,False,24,1000,100,16,0.0001,15,1.9636459350585938,4.815021991729736,0.5004631280899048,1.034105658531189,2.396348237991333,91.79132228140755,91.09023779176528,0.758989542722702,passed
diffusion_direct,direct_a,configs/full_tune_diffusion_direct_a.yaml,True,True,True,False,0,1000,50,16,0.0002,15,26.69331169128418,58.92716979980469,6.4178853034973145,13.87917709350586,35.06147766113281,35.05257451643431,25.005449371959237,9.88767957687378,passed
diffusion_direct,direct_b,configs/full_tune_diffusion_direct_b.yaml,True,True,True,False,0,1000,75,16,0.00015,15,20.21281623840332,44.27400207519531,2.212486505508423,4.89491605758667,26.56624412536621,77.61017910812481,73.55087930447566,3.4362155199050903,passed
diffusion_direct,direct_c,configs/full_tune_diffusion_direct_c.yaml,True,True,True,False,0,1000,100,16,0.0001,15,27.178640365600586,60.11695861816406,6.609879970550537,14.310638427734375,35.7149543762207,33.109635566608254,22.67409725678358,10.18753957748413,passed
diffusion_direct,direct_d,configs/full_tune_diffusion_direct_d.yaml,True,True,True,False,0,1000,50,16,0.0002,15,19.642004013061523,43.84434509277344,2.1531004905700684,4.852808475494385,26.108205795288086,78.21115101671795,73.77840282231605,3.3663026094436646,passed
diffusion_direct,direct_e,configs/full_tune_diffusion_direct_e.yaml,True,True,True,False,0,1000,100,16,0.0001,15,20.70721435546875,45.07018280029297,2.230210304260254,4.932441234588623,26.625743865966797,77.43081861096962,73.34811628995833,3.4633206129074097,passed
diffusion_direct,direct_f,configs/full_tune_diffusion_direct_f.yaml,True,True,True,True,0,1000,75,16,0.0001,15,4.18206262588501,9.877952575683594,0.7230075597763062,1.4557510614395142,5.534523963928223,92.68334079030087,92.13401515497395,1.0869453251361847,passed
